state,suburb,postcode,latitude,longitude
NSW,Big Ridge,2330,-32.57472,151.22472
NSW,Big Springs,2650,-35.315,147.41778
NSW,Bigga,2583,-34.04833,149.15111
NSW,Bilambil,2486,-28.22639,153.4675
NSW,Bilambil Heights,2486,-28.20833,153.48667
NSW,Bilbul,2680,-34.28167,146.13444
NSW,Bilgola,2107,-33.63167,151.31778
NSW,Billilingra,2630,-36.015,149.12611
NSW,Billinudgel,2483,-28.49833,153.51778
NSW,Billyrimba,2372,-29.18167,152.23444
NSW,Billys Creek,2453,-30.165,152.58444
NSW,Billywillinga,2795,-33.27333,149.43444
NSW,Bilpin,2758,-33.49833,150.51778
NSW,Bimbimbie,2536,-35.815,150.13444
NSW,Binalong,2584,-34.67333,148.63444
NSW,Binda,2583,-34.34833,149.40111
NSW,Bindera,2422,-32.015,151.81778
NSW,Bingara,2404,-29.865,150.56778
NSW,Bingeebeebra Creek,2469,-28.80972,152.77806
NSW,Bingie,2537,-36.01,150.14444
NSW,Bingleburra,2311,-32.39833,151.58444
NSW,Biniguy,2399,-29.57167,150.14
NSW,Binjura,2630,-36.18167,149.10111
NSW,Binna Burra,2479,-28.69833,153.48444
NSW,Binnaway,2395,-31.55667,149.39278
NSW,Binya,2665,-34.23167,146.35111
NSW,Birchgrove,2041,-33.84833,151.16778
NSW,Birdlip,2655,-35.315,147.18444
NSW,Birdwood,2446,-31.34833,152.33444
NSW,Birganbigil,2710,-35.515,145.13444
NSW,Birmingham Gardens,2287,-32.88167,151.68444
NSW,Birrego,2700,-35.015,146.58444
NSW,Birrong,2143,-33.89,151.02611
NSW,Bishops Bridge,2326,-32.73167,151.46778
NSW,Bithramere,2340,-31.13167,150.76778
NSW,Black Creek,2729,-35.32611,148.03167
NSW,Black Head,2430,-32.07083,152.53611
NSW,Black Hill,2322,-32.84,151.61222
NSW,Black Mountain,2365,-30.315,151.65111
NSW,Black Range,2550,-36.03167,146.93444
NSW,Black Springs,2787,-33.84833,149.75111
NSW,Black Swamp,2372,-29.015,152.15111
NSW,Blackalls Park,2283,-33.00111,151.58722
NSW,Blackbutt,2529,-34.57056,150.84278
NSW,Blackett,2770,-33.73722,150.815
NSW,Blackheath,2785,-33.63389,150.28472
NSW,Blackmans Flat,2790,-33.335,150.07056
NSW,Blackmans Point,2444,-31.415,152.85111
NSW,Blacksmiths,2281,-33.07333,151.65667
NSW,Blacktown,2148,-33.77056,150.90667
NSW,Blackville,2343,-31.63167,150.23444
NSW,Blackwall,2256,-33.5025,151.32611
NSW,Blair Athol,2560,-34.06278,150.79972
NSW,Blairmount,2559,-34.04833,150.79278
NSW,Blakebrook,2480,-28.765,153.25111
NSW,Blakehurst,2221,-33.99833,151.10111
NSW,Blakney Creek,2581,-34.63278,149.02111
NSW,Bland,2721,-33.665,147.66778
NSW,Blandford,2338,-31.78167,150.90111
NSW,Blanket Flat,2583,-34.13167,149.20111
NSW,Blaxland,2774,-33.74528,150.6175
NSW,Blaxlands Creek,2460,-29.88167,152.80111
NSW,Blaxlands Ridge,2758,-33.49833,150.71778
NSW,Blayney,2799,-33.53167,149.25111
NSW,Bligh Park,2756,-33.63167,150.78444
NSW,Blighty,2713,-35.58167,145.28444
NSW,Blowering,2720,-35.48694,148.26361
NSW,Blue Bay,2261,-33.3525,151.50111
NSW,Blue Haven,2262,-33.19833,151.48444
NSW,Blue Knob,2480,-28.54833,153.18444
NSW,Blue Vale,2380,-30.82333,150.19278
NSW,Blueys Beach,2428,-32.34917,152.53167
NSW,Bluff Rock,2372,-29.165,152.00111
NSW,Boambee,2450,-30.33167,153.08444
NSW,Boambee East,2452,-30.34417,153.07806
NSW,Boat Harbour,2480,-32.78167,152.10944
NSW,Bobadah,2825,-32.19889,146.61472
NSW,Bobbin Head,2074,-33.65667,151.15944
NSW,Bobin,2429,-31.715,152.28444
NSW,Bobs Creek,2443,-31.59,152.7525
NSW,Bobs Farm,2316,-32.765,152.01778
NSW,Bobundara,2630,-36.48167,148.98444
NSW,Boco,2631,-36.60944,149.15889
NSW,Bodalla,2545,-36.09,150.08444
NSW,Boeill Creek,2648,-34.13167,145.11778
NSW,Bogangar,2488,-28.33167,153.55944
NSW,Bogee,2849,-32.965,150.10111
NSW,Boggabilla,2409,-28.59833,150.35111
NSW,Boggabri,2382,-30.715,150.03444
NSW,Bogong Peaks Wilderness,2720,-35.51972,148.37667
NSW,Bohena Creek,2390,-30.41194,149.64194
NSW,Bohnock,2430,-31.94833,152.56778
NSW,Bolaro,2629,-35.915,148.83444
NSW,Bolivia,2372,-29.29833,151.95111
NSW,Bolong,2540,-34.84833,150.66778
NSW,Bolton Point,2283,-33.0025,151.615
NSW,Bolwarra,2320,-32.715,151.565
NSW,Bolwarra Heights,2320,-32.69833,151.58444
NSW,Bom Bom,2460,-29.76194,152.97167
NSW,Bomaderry,2541,-34.84833,150.61778
NSW,Bombah Point,2423,-32.50083,152.26639
NSW,Bombala,2632,-36.915,149.23444
NSW,Bombay,2622,-35.43167,149.65111
NSW,Bombo,2533,-34.64833,150.85944
NSW,Bombowlee,2720,-35.25806,148.24111
NSW,Bombowlee Creek,2720,-35.26972,148.31583
NSW,Bomen,2650,-35.08167,147.41778
NSW,Bonalbo,2469,-28.73167,152.61778
NSW,Bondi,2026,-33.89,151.26778
NSW,Bondi Beach,2026,-33.88167,151.26778
NSW,Bondi Forest,2632,-37.14889,149.22056
NSW,Bondi Junction,2022,-33.89833,151.25111
